MATRICULA,MARCA,MODELO,MOTOR,FECHAMATRICULACION
1234HSF,Honda,Civic,COMBUSTION,2000-01-01
5678BDF,Toyota,Corolla,HIBRIDO,2015-06-15
9234LMN,Ford,Focus,COMBUSTION,2018-09-10
7890XYZ,BMW,Serie 3,COMBUSTION,2012-11-30
2145HJK,Mercedes,Clase A,HIBRIDO,2019-07-05
6789QWR,Renault,Megane,COMBUSTION,2017-03-18
4321ZXC,Audi,A4,HIBRIDO,2020-08-25
9101PTV,Volkswagen,Golf,ELECTRICO,2022-05-12
1122BSD,Nissan,Leaf,ELECTRICO,2023-02-28
5192HFF,Ford,Kuga,COMBUSTION,2014-10-31
3456JKL,Hyundai,Kona,ELECTRICO,2020-09-18
7890MNP,Ford,Puma,HIBRIDO,2021-04-30
0123WXY,Renault,Zoe,ELECTRICO,2019-12-08
